id,category,question,expected,actual,score,reason,latency,status
1,DGP規約・定義,DGP利用規約第6条第1項に基づきSP（サービス・プロバイダー）が提供する「学習用データ」は、いつの時点から遡った期間の、どの地点における電力使用実績を指すと定義されていますか？,学習用データとは、規約第6条第1項に基づきデータを提供する時点から遡って1年前までの期間における、需要家エンドポイント（EP）での電力使用実績のことであると定義されています。,"DGP利用規約第6条第1項に基づく「学習用データ」についての具体的な定義や、どの時点から遡った期間のどの地点における電力使用実績を指すかについての情報は、提供された検索結果には含まれていませんでした。

この件については、カスタマーサポートに直接お問い合わせいただくことをお勧めします。",0.2,期待回答の具体的な定義や情報が欠けており、意味的に一致していない。,6.26,success
2,契約・スイッチング,QAリストによれば、他の小売電気事業者からDGへ切り替える（スイッチング）際に必要な「供給地点特定番号」の桁数は？,電力会社を切り替えるスイッチング手続きの際には、供給地点を特定するための固有番号である「22桁」の供給地点特定番号が必要となります。,「供給地点特定番号」の桁数についての情報は、現在の検索結果には含まれていませんでした。この情報については、カスタマーサポートにお問い合わせください。,0.0,期待回答の主要な情報が全く含まれておらず、桁数に関する具体的な情報が欠如している。,2.0,success
3,2025年12月改正・L1係数,協議制需要家のピーク時kW算出式に含まれる「L1」係数は、何を指すものとして定義されていますか？,2025年12月施行の規約別紙に基づき、L1係数は「夏季ピーク時における当該需要家EU（取次）の負荷率」を表す数値として定義されています。,協議制需要家のピーク時kW算出式に含まれる「L1」係数については、現在のところ公式ドキュメントに具体的な定義が見つかりませんでした。詳細については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な定義が欠けており、情報が不十分である。,2.22,success
4,託送供給・接続検討料,各地域の約款において、高圧以上の受電側接続検討を行う際に発生する検討料（1受電地点につき）の標準的な金額はいくらですか？,高圧または特別高圧の発電設備を系統に繋ぐための接続検討を申し込む際、1地点につき標準で「220,高圧以上の受電側接続検討に関する検討料についての具体的な金額は、ドキュメントからは確認できませんでした。詳細な金額については、各地域の電力会社の約款や契約条件によって異なる場合がありますので、直接カスタマーサポートにお問い合わせいただくか、該当する電力会社の公式情報をご確認ください。,0.4,期待回答の具体的な金額が示されていないため、情報が不足している。,3.15,success
5,DGP規約・定義,DGP利用規約において「実績データ」とは、AIによる予測の対象となった日以降の需要家EPにおける、何分単位の電力使用実績のことを指しますか？,実績データとは、AIによる需要・発電予測の対象となった日以降における、需要家エンドポイント（EP）での30分毎の電力使用実績のことを指します。,DGP利用規約において「実績データ」が何分単位の電力使用実績を指すかについては、検索結果からは具体的な情報が見つかりませんでした。この件については、カスタマーサポートに直接お問い合わせいただくことをお勧めします。,0.2,期待回答の具体的な情報が欠けており、意味的に一致していない。,2.09,success
6,託送供給等約款・中国電力NW,中国電力ネットワークの約款に基づき、需要抑制量調整供給契約を締結する要件として、得られた需要抑制量は合計で何kWを超える必要がありますか？,需要抑制量調整供給契約を締結するためには、需要抑制の指示によって得られた需要抑制量の合計が100キロワットを超えている必要があります。,"中国電力ネットワークの約款に基づく需要抑制量調整供給契約の要件として、得られた需要抑制量が合計で何kWを超える必要があるかについての具体的な情報は、検索結果からは見つかりませんでした。

この件に関しては、直接カスタマーサポートにお問い合わせいただくことをお勧めします。",0.2,期待回答の具体的な数値が欠けており、情報が不十分である。,2.57,success
7,システム・ログイン,DGMを初めて利用する際、アカウント作成後にデジタルグリッドから届くメールに含まれる、本人確認のためのリンクの名称は？,新規アカウント登録完了後に送付されるアクティベーションメールには、「アカウントを確認する」というボタン（またはリンク）が含まれており、これをクリックすることで利用が開始できます。,公式ドキュメントには、DGMのアカウント作成後にデジタルグリッドから届くメールに含まれる本人確認のためのリンクの名称についての情報は見つかりませんでした。詳しい情報については、カスタマーサポートにお問い合わせください。,0.2,予測回答は期待回答の内容に対して具体的な情報を提供しておらず、質問に対する直接的な回答が欠けている。,2.63,success
8,供給条件・電源構成,DGが供給する電気の電源構成（計画値）において、日本卸電力取引所（JEPX）からの調達比率は約何パーセントと想定されていますか？,デジタルグリッド株式会社が供給する電気の標準的な電源構成（計画値）では、日本卸電力取引所（JEPX）からの調達比率は約100パーセントとして計画されています。,公式ドキュメントには、日本卸電力取引所（JEPX）からの調達比率に関する具体的な数値は記載されていませんでした。詳細な情報については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な数値が欠如しており、内容が異なる。,2.11,success
9,電気料金・支払期日,託送供給等約款における「支払期日」は、原則として、支払義務発生日の翌日から数えて何日目とされていますか？（標準的な規定として）,託送供給に関する料金等の支払期日は、原則として支払義務が発生した日の翌日から起算して30日目となる日と定められています。,託送供給等約款における「支払期日」は、原則として、支払義務発生日の翌日から数えて30日目とされています。ただし、金融機関の休業日にあたる場合は、翌営業日が支払期日となります。詳細については、カスタマーサポートにお問い合わせください。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,2.02,success
10,DGM操作・パスワード,DGMのユーザーアカウント編集画面において、パスワードを変更する際にクリックするボタンの名称は？,DGMのユーザーアカウント編集画面上では、パスワード項目のすぐ右側にある「変更」という名称のボタンをクリックすることで、新しいパスワードを設定する入力欄が表示されます。,DGMのユーザーアカウント編集画面において、パスワードを変更する際にクリックするボタンの名称についての情報は、現在のところ公式ドキュメントには見つかりませんでした。この件については「カスタマーサポートにお問い合わせください」。,0.2,予測回答はボタンの名称に関する情報を提供しておらず、期待回答とは大きく異なる。,6.34,success
11,システム・パスワード忘れ,DGMのログイン画面において、パスワードを忘れたユーザーが利用すべきリンクの名称は？,DGMのログイン入力欄のすぐ下にある、「パスワードをお忘れですか？」というテキストリンクをクリックすることで、パスワード再設定の手続きを行うことができます。,DGMのログイン画面において、パスワードを忘れた場合に利用すべき具体的なリンクの名称は、公式ドキュメントには記載されていませんでした。パスワードの再発行が必要な場合は、デジタルグリッドまで直接ご連絡いただくことをお勧めします。詳細はカスタマーサポートにお問い合わせください。,0.2,期待回答の具体的なリンク名称が含まれておらず、情報が不十分。,2.1,success
12,電気料金・端数,電気需給約款（低圧）において、料金合計に1円未満の端数が生じた場合、どのように処理されますか？,デジタルグリッド株式会社の低圧電気需給約款に基づき、計算後の最終的な料金合計額に1円未満の端数が発生した場合は、その端数分を切り捨てるものとされています。,"電気需給約款（低圧）において、料金合計に1円未満の端数が生じた場合の処理については、次のように規定されています。

料金その他を計算する場合の端数処理は、小数点以下第1位で四捨五入されます。したがって、料金合計に1円未満の端数が生じた場合は、その端数を四捨五入して処理します。

詳細については、カスタマーサポートにお問い合わせください。",0.2,期待回答は端数を切り捨てると明記しているが、予測回答は四捨五入と異なる処理を示しているため、意味的に一致していない。,3.1,success
13,DGM操作・ロゴ,DGMのシステムから発行される「お支払予定金額通知書」の左上に表示されるロゴは、どのサービスのロゴですか？,お支払予定金額通知書（PDF等）の左上には、本サービスの名称である「DIGITAL GRID platform」の専用ロゴマークが表示されています。,「お支払予定金額通知書」の左上に表示されるロゴについての情報は、現在の公式ドキュメントには記載がありません。詳細については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な情報が欠如しており、質問に対する直接的な回答がない。,1.68,success
