id,category,question,expected,actual,score,reason,latency,status
1,DGP規約・定義,DGP利用規約第6条第1項に基づきSP（サービス・プロバイダー）が提供する「学習用データ」は、いつの時点から遡った期間の、どの地点における電力使用実績を指すと定義されていますか？,学習用データとは、規約第6条第1項に基づきデータを提供する時点から遡って1年前までの期間における、需要家エンドポイント（EP）での電力使用実績のことであると定義されています。,DGP利用規約第6条第1項に基づく「学習用データ」は、提供するより前の1年間の需要家EPにおける電力使用実績を指します。具体的には、サービス・プロバイダー（SP）が提供するデータは、提供時点から遡って1年間の電力使用実績を含むものと定義されています。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,3.02,success
2,契約・スイッチング,QAリストによれば、他の小売電気事業者からDGへ切り替える（スイッチング）際に必要な「供給地点特定番号」の桁数は？,電力会社を切り替えるスイッチング手続きの際には、供給地点を特定するための固有番号である「22桁」の供給地点特定番号が必要となります。,「供給地点特定番号」は22桁の番号です。スイッチングの際にはこの番号が必要となります。その他の詳細については、カスタマーサポートにお問い合わせください。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,1.61,success
3,2025年12月改正・L1係数,協議制需要家のピーク時kW算出式に含まれる「L1」係数は、何を指すものとして定義されていますか？,2025年12月施行の規約別紙に基づき、L1係数は「夏季ピーク時における当該需要家EU（取次）の負荷率」を表す数値として定義されています。,「L1」係数に関する具体的な定義は、現在の検索結果には含まれていませんでした。詳細については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な定義が欠けており、情報が不十分である。,1.63,success
4,託送供給・接続検討料,各地域の約款において、高圧以上の受電側接続検討を行う際に発生する検討料（1受電地点につき）の標準的な金額はいくらですか？,高圧または特別高圧の発電設備を系統に繋ぐための接続検討を申し込む際、1地点につき標準で「220,"高圧以上の受電側接続検討を行う際の標準的な検討料は、1受電地点につき22万円です。ただし、以下の場合には検討料が免除されることがあります：

1. 検討を要しない場合
2. 受電側接続検討の回答後、他の発電契約者の契約の申込みに伴う連系予約によって送電系統の状況が変化した場合など、受電側接続検討の前提となる事実関係に変動がある場合で、かつ、検討料を申し受けた受電側接続検討の回答日から1年以内に受け付けた受電側接続検討のとき

詳細については、カスタマーサポートにお問い合わせください。",1.0,期待回答と予測回答は、標準的な検討料の金額が一致しており、内容も正確で意味的に同等である。,2.77,success
5,DGP規約・定義,DGP利用規約において「実績データ」とは、AIによる予測の対象となった日以降の需要家EPにおける、何分単位の電力使用実績のことを指しますか？,実績データとは、AIによる需要・発電予測の対象となった日以降における、需要家エンドポイント（EP）での30分毎の電力使用実績のことを指します。,DGP利用規約によると、「実績データ」は原則として30分毎の電力使用実績を指します。ただし、これが困難な場合には、1か月毎の発電実績または需要実績を提出することも可能です。詳細については、カスタマーサポートにお問い合わせください。,0.7,主要な情報は含まれているが、条件付きの情報が追加されており、期待回答とは完全に一致していない。,2.92,success
6,託送供給等約款・中国電力NW,中国電力ネットワークの約款に基づき、需要抑制量調整供給契約を締結する要件として、得られた需要抑制量は合計で何kWを超える必要がありますか？,需要抑制量調整供給契約を締結するためには、需要抑制の指示によって得られた需要抑制量の合計が100キロワットを超えている必要があります。,"中国電力ネットワークの需要抑制量調整供給契約を締結するための要件として、得られた需要抑制量が合計で何kWを超える必要があるかについての具体的な情報は、現在の検索結果からは見つかりませんでした。

この件についての詳細な情報は、直接カスタマーサポートにお問い合わせください。",0.2,期待回答の具体的な数値（100キロワット）が含まれておらず、情報が不足している。,3.17,success
7,システム・ログイン,DGMを初めて利用する際、アカウント作成後にデジタルグリッドから届くメールに含まれる、本人確認のためのリンクの名称は？,新規アカウント登録完了後に送付されるアクティベーションメールには、「アカウントを確認する」というボタン（またはリンク）が含まれており、これをクリックすることで利用が開始できます。,ドキュメント内に、DGMのアカウント作成後にデジタルグリッドから届くメールに含まれる本人確認のためのリンクの名称についての具体的な情報は見つかりませんでした。この件については「カスタマーサポートにお問い合わせください」。,0.2,期待回答の具体的な情報が欠如しており、質問に対する直接的な回答がない。,5.21,success
8,供給条件・電源構成,DGが供給する電気の電源構成（計画値）において、日本卸電力取引所（JEPX）からの調達比率は約何パーセントと想定されていますか？,デジタルグリッド株式会社が供給する電気の標準的な電源構成（計画値）では、日本卸電力取引所（JEPX）からの調達比率は約100パーセントとして計画されています。,デジタルグリッド株式会社が供給する電気の電源構成における日本卸電力取引所（JEPX）からの調達比率についての具体的なパーセンテージは、公式ドキュメントには記載されていません。詳細な情報については、カスタマーサポートにお問い合わせください。,0.2,予測回答は具体的なパーセンテージを示さず、期待回答の内容と大きく異なる。,2.77,success
9,電気料金・支払期日,託送供給等約款における「支払期日」は、原則として、支払義務発生日の翌日から数えて何日目とされていますか？（標準的な規定として）,託送供給に関する料金等の支払期日は、原則として支払義務が発生した日の翌日から起算して30日目となる日と定められています。,"託送供給等約款における「支払期日」は、原則として、検針日の属する月の翌月に設定されます。ただし、具体的な支払期日は別途お客様にお知らせされる日となります。もしその日が休日である場合、支払期日はその翌日以降の最初の平日となります。

詳細については、カスタマーサポートにお問い合わせください。",0.2,期待回答の内容と異なり、支払期日が30日目であるという重要な情報が欠けている。,2.13,success
10,DGM操作・パスワード,DGMのユーザーアカウント編集画面において、パスワードを変更する際にクリックするボタンの名称は？,DGMのユーザーアカウント編集画面上では、パスワード項目のすぐ右側にある「変更」という名称のボタンをクリックすることで、新しいパスワードを設定する入力欄が表示されます。,DGMのユーザーアカウント編集画面でパスワードを変更する際にクリックするボタンの名称について、公式ドキュメントからの情報は見つかりませんでした。詳細については「カスタマーサポートにお問い合わせください」。,0.2,予測回答はボタンの名称を提供しておらず、期待回答の内容と大きく異なる。,2.02,success
