question,answer,category
請求書の送付先アドレスを変更したいです。,DGMの請求先項目からメールアドレスを修正してください。,請求
過去の請求書を再発行したい場合はどうすれば良いですか？,DGMから過去分の請求書をダウンロード可能です。,請求
電力使用量のグラフがほぼ一定値に見えます。なぜですか？,計測メーターの検定期間切れ等により、グラフの通り電力値が配信されている可能性があります。,電力
電力使用量が欠損しているように見えます。なぜですか？,計測メーターの通信状況により、一時的にデータが欠損することがあります。,電力
需要計画値は何に基づいて算出されていますか？,過去の需要実績等の膨大なデータを活用してAI技術で予測しています。,電力
請求書の送付アドレスを変更・追加したい,"請求送信先アドレスの追加は、ＤＧＭの左メニュー内にございます「請求」で行っていただきます。「請求」→「請求先一覧」と進んでいただけますと、拠点毎の請求先情報が表示されます。アドレスを追加されたい拠点の「編集」をクリックしていただき、ページ下部の、メールアドレスリスト、「＋項目を追加」でメールアドレスの追加が可能です。※添付のシステムマニュアルの8ページもご参照ください。",請求
請求書の確認方法を教えてほしい,"請求書の確認は、ＤＧＭの左メニュー内にございます「請求」で行っていただきます。「請求」→「請求書一覧」と進んでいただけますと、拠点毎の請求書が表示されます。",請求
昼間・夜間の時間帯の区切りを教えてください。,昼間の時間帯は午前8時から午後10時。夜間は午後10時から翌日午前8時。,電力
一年以上前の請求書のCSVダウンロードをしたいです,1年以上前の請求書のCSVはダウンロード不可です。,請求
請求書の送付先メールアドレスを変更したい,"請求書の送付先メールアドレスを変更する手順は以下の通りです：1. DGMにログインしてください。2. 左メニュー内の「請求」をクリックします。3. 「請求先一覧」を選択します。4. 該当する拠点の「編集」をクリックします。5. ページ下部のメールアドレスリストに進み、既存のアドレスを修正してください。",請求
昼時間帯電力/夜時間帯電力はどこで見ることができますか？,電力量ダッシュボードで確認が可能です。,システム
スイッチング以前の電力データも電力量ダッシュボードに反映されますか？,スイッチング後のデータのみが電力量ダッシュボードに反映されます。,システム
時間別の電気の使用量を知りたい,弊社が提供している電力量ダッシュボードにて、30分ごとの電力使用量が確認可能です。,システム
DGMは解約後いつまで利用可能ですか,DGMは解約後、180日間はご利用が可能です。,システム
電力量ダッシュボードで取ったデータと、請求書に載っているデータが相違しています,"電力量ダッシュボードの画面下に表示される「当月のロス後電力使用量」は月初から月末の使用電力量になり、請求書のデータは対象となる拠点の使用電力計算期間に対応しているため、観測期間が異なる可能性があります。詳細をご確認されたい場合はCSVをダウンロードしてご確認ください。尚、上記とは異なる要因でデータに差異が発生していると思われる場合は、デジタルグリッド株式会社までお問合せ下さい。",システム
電力量が電力量ダッシュボードに反映されるまでの時間は？,電力量ダッシュボードに速報値が反映されるタイミングはおおよそ1.5時間から2時間後です。,システム
DGMのID・パスワードを再発行してほしい。,IDやパスワード再発行をご希望の場合は、デジタルグリッドまでご連絡ください。,システム
電力量ダッシュボードでダウンロードしたCSVの項目は何を意味しますか？,CSVの各項目は電力購入量、使用電力量等を表します。,システム
自社の計測システムの計測電力量と電力量ダッシュボードの計測電力量が異なります。なぜですか？,計測遅延や計測箇所の違い等が原因として考えられます。,電力
予備電力系統から使用した電力量はどこで見ることができますか？,予備電力系統から使用した電力量はDGMでは確認できません。,電力
停電時に適応される料金割引はありますか？,停電時に適応される料金割引はございません。,請求
契約容量を変更したいです。,契約容量の変更はデジタルグリッドまでお問い合わせください。,契約
解約をしたいがどうすればよいか,需要場所住所・解約拠点名称・顧客契約番号・供給地点番号・廃止希望日・廃止理由をcustomer_support@digitalgrid.comまでメールいただければ、手続きを進めさせていただきます。,契約
移転のため、別オーナーに物件を引き渡す際の、契約承継の手続きについて教えてください。,オーナー変更がある場合、新しいオーナー様がどの電力会社と契約をするか等の事前確認が必要になります。お手続きに関し確認させていただきたい事項がありますので、詳細はデジタルグリッド株式会社までお問い合わせください。,契約
新設物件は対応可能でしょうか。,新設のサービスに関しましては、デジタルグリッドのHPのDigital Grid Platformのお問合せより詳細をご記入の上お問合せください。,契約
解約する時に違約金ってかかりますか？,"解約時の違約金は、長期相対取引や再エネ相対取引の契約がない場合においては原則かかりません。長期相対取引や再エネ相対取引の中途解約に関しては取引先との契約内容に準するため、解約をご検討される際にはデジタルグリッド株式会社までお問合せ下さい。",契約
固定で電力を調達したい場合はどうしたら良いですか,電力料金をなるべく固定したい場合、発電家からの固定価格での電力調達を取り入れた卸＋JEPXプランがご利用いただけます。調達可能量・価格は施設の使用電力状況によって異なりますので、詳細はデジタルグリッド株式会社までお問合せください。,契約
DGP手数料を確認したいです,DGP利用手数料は請求書のプラットフォーム手数料欄に記載、もしくはDigital Grid Platform利用契約書に記載されています。,請求
再エネ比率はどのような種類から選べるか,"デジタルグリッドが提供する再エネメニュー（再エネ比率）はRE20、RE30、RE50、RE70、RE100があります。ご希望の際には担当営業までお問合せ下さい。",契約
再エネメニューの価格を教えてください,再エネメニュー（環境価値調達）にかかる料金につきましてはDGP利用契約書をご参照ください。再エネメニューについては電気需給契約書の別紙をご参照ください。,契約
新規の申込期限を教えてください,拠点の追加のお申込期限に関しては切替日の5週間以上前に担当営業にご連絡お願いいたします。尚、状況によっては希望の日付で切替ができない可能性があります点ご了承下さい。,契約
融雪契約はありますか？,通常の契約（市場調達）のみで融雪契約はありません。,契約
再エネ比率を変更したいです,再エネ比率の変更に関しましては詳細をご確認させていただく必要がありますので担当営業、もしくはデジタルグリッドのHPのお問合せにお問合せお願いいたします。,契約
太陽光の自家発電設備を新設します。なにか手続きはありますか。,太陽光の自家発電設備の設置は設備変更に該当します。設備変更の申請はデジタルグリッドのHPのお問合せから必要な情報を記入いただきご連絡下さい。,契約
DRはできますか,デジタルグリッド株式会社では現時点ではDRやネガワット契約はご提供しておりませんが詳細をご確認させていただきたいので担当営業、もしくはデジタルグリッドのHPのお問合せにお問合せお願いいたします。,契約
スイッチングに必要な情報を教えてください,"スイッチングには契約者名義、現在契約している小売電気事業者の契約番号、供給地点特定番号（22桁）、住所、ご担当者様の氏名・電話番号、主任技術者の所属・連絡先氏名・電話番号、接続供給開始日が必要です。尚、新規で契約される場合は営業担当もしくはHPのお問合せよりお問合せ下さい。",契約
需給調整市場において系統用蓄電池を登録する場合の電源種別は何ですか？,需給調整市場において系統用蓄電池を登録する場合の電源種別は調整電源になります。,一般
新旧対照表はどこで確認できますか？,新旧対照表および各種約款・規約はDGMの左タブ下部にあるDGP契約書類から確認できます。,システム
排出係数を教えて下さい,排出係数についての詳細はカスタマーサポート（customer_support@digitalgrid.com）までお問い合わせください。,一般
自家発補給電力を使用する場合の手続きを教えてください。,自家発補給電力連絡票への記入後、速やかにデジタルグリッドへ送付をお願いします。,契約
請求書はいつ発行されますか？,翌月8営業日までに請求書を発行しメールで送付しています。,請求
